Index,Time,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15,Gene16,Gene17,Gene18,Gene19,Gene20,Gene21,Gene22,Gene23,Gene24,Gene25,Gene26,Gene27,Gene28,Gene29,Gene30,Gene31,Gene32,Gene33,Gene34,Gene35,Gene36,Gene37,Gene38,Gene39,Gene40,Gene61,Gene62,Gene63,Gene64,Gene65,Gene66,Gene67,Gene68,Gene69,Gene70,Gene71,Gene72,Gene73,Gene74,Gene75,Gene76,Gene77,Gene78,Gene79,Gene80,Gene41,Gene42,Gene43,Gene44,Gene45,Gene46,Gene47,Gene48,Gene49,Gene50,Gene51,Gene52,Gene53,Gene54,Gene55,Gene56,Gene57,Gene58,Gene59,Gene60
Cell11,0.02004008016032064,0,1,3,1,4,2,3,0,11,0,4,102,6,123,15,59,6,4,32,9,0,0,1,0,2,1,1,0,2,2,7,18,51,19,16,13,17,10,62,25,72,1227,366,1500,4019,680,38,158,165,373,81,302,125,53,377,620,62,57,1948,761,1,4,2,0,2,2,2,0,1,0,9,101,72,21,68,22,14,9,12,13
Cell12,0.022044088176352703,3,4,3,1,9,0,2,5,5,3,0,22,9,52,21,96,6,7,19,31,2,0,2,0,1,0,1,1,3,1,21,20,21,43,65,51,2,3,137,14,115,851,484,852,1358,890,59,310,36,553,128,330,355,629,147,506,121,90,4263,795,4,0,0,0,0,0,1,1,2,1,10,57,53,11,278,26,4,3,77,3
Cell13,0.024048096192384766,6,5,0,0,5,1,3,6,10,4,19,61,16,30,7,88,4,11,5,19,5,0,0,0,0,3,2,3,2,1,8,36,48,24,85,34,5,3,63,20,48,1491,1187,412,1886,121,183,156,480,796,52,439,225,589,272,3367,42,141,1141,1012,0,0,0,0,0,2,0,0,0,5,11,15,84,74,185,127,10,5,52,44
Cell14,0.026052104208416832,1,8,5,1,11,0,7,8,2,6,3,9,0,25,14,29,5,2,21,22,1,0,1,0,0,0,0,1,0,1,8,34,29,11,35,17,5,11,60,28,195,457,729,794,2602,557,146,130,278,518,204,152,98,455,140,1574,111,70,1762,1173,2,4,1,0,0,2,6,3,1,1,6,23,48,40,116,29,13,30,23,27
Cell15,0.028056112224448895,5,7,2,1,2,4,0,14,0,0,5,16,4,58,11,51,1,9,39,12,4,0,1,0,0,0,0,1,1,0,8,59,15,17,83,38,1,0,70,15,150,2348,1039,251,2463,596,24,255,551,607,152,255,167,100,172,419,71,200,3447,983,0,0,2,4,1,2,1,0,0,0,8,17,98,45,196,38,12,11,14,36
Cell16,0.03006012024048096,0,6,3,1,2,5,0,2,4,1,34,70,3,33,3,5,3,8,8,24,0,0,1,1,2,1,4,0,0,2,10,23,39,8,37,82,13,12,62,29,113,129,574,1971,2159,1041,128,163,118,181,111,537,295,274,62,302,81,28,2794,885,0,4,0,0,1,1,0,1,0,1,5,15,21,39,100,30,6,4,38,43
Cell17,0.03206412825651302,4,0,5,4,20,0,1,6,4,5,3,64,7,15,13,17,2,2,37,41,2,2,2,0,0,4,1,0,0,1,5,18,104,19,17,46,4,0,63,45,149,3163,854,903,5667,844,170,382,525,327,142,330,112,117,268,1043,33,140,1404,443,2,0,1,2,0,0,0,1,3,2,14,24,29,95,61,26,3,36,62,38
Cell18,0.03406813627254509,0,1,4,3,10,1,1,5,3,2,19,12,1,21,4,67,4,4,0,36,0,0,2,0,0,0,3,1,1,0,6,10,46,14,41,7,1,14,52,33,204,822,579,393,1092,1689,104,482,325,318,188,174,183,223,63,611,61,86,3254,1919,1,1,1,0,1,0,0,0,3,0,6,37,67,111,227,48,11,6,240,60
Cell19,0.03607214428857715,0,2,13,0,18,0,6,1,3,11,9,28,6,10,13,46,3,12,0,16,0,1,1,0,0,1,0,1,0,1,4,43,51,43,31,80,2,19,40,18,447,622,913,977,4910,533,205,126,258,182,403,62,256,1214,143,509,71,223,1337,1410,0,0,1,0,0,0,0,2,3,2,1,143,49,47,64,31,6,34,43,9
Cell20,0.038076152304609215,3,4,10,2,40,5,2,5,6,5,26,9,15,26,14,23,4,1,25,63,2,2,0,1,0,0,3,0,0,2,12,14,38,12,48,80,3,5,20,41,215,4072,724,898,3071,557,175,335,754,221,187,259,265,415,267,1405,96,144,1506,1287,0,0,0,0,1,1,0,0,0,0,15,11,5,62,96,30,3,17,49,29
Cell21,0.04008016032064128,1,1,2,6,11,3,2,2,2,3,10,18,6,18,19,51,5,5,4,30,1,4,0,3,0,3,2,1,0,0,5,40,60,79,101,41,5,7,13,46,146,791,1231,639,3223,2900,136,212,499,660,123,183,211,114,175,678,37,21,109,339,3,0,1,0,0,2,3,1,1,0,36,77,11,34,103,27,4,12,39,57
Cell22,0.04208416833667334,1,7,0,1,17,1,5,2,1,0,10,40,2,55,2,110,3,9,6,38,0,3,3,2,2,2,2,2,0,0,1,35,32,48,20,19,0,3,31,36,196,1579,490,678,4073,673,387,233,378,634,161,168,91,281,153,381,179,51,1192,897,4,6,2,1,2,0,2,1,2,2,7,50,77,24,30,62,6,15,18,37
Cell23,0.044088176352705406,0,8,9,2,12,3,2,1,2,5,10,20,24,15,11,61,4,4,32,21,0,2,0,0,1,1,0,4,0,2,13,57,66,29,27,28,2,1,25,55,94,1112,184,1535,3937,1029,108,233,241,423,75,256,71,137,115,927,45,116,206,756,2,3,0,1,0,1,0,1,0,2,5,48,40,35,154,70,11,8,10,61
Cell24,0.04609218436873747,4,5,6,4,11,1,0,1,2,6,11,22,11,100,8,10,3,6,11,103,3,0,1,1,0,1,1,2,3,1,29,96,13,67,55,43,2,11,48,45,57,1518,406,251,2362,1222,67,122,512,712,45,339,218,587,37,528,77,202,465,1014,0,1,1,0,3,0,1,0,0,5,22,46,64,137,126,55,5,25,14,32
Cell25,0.04809619238476953,7,5,9,1,9,1,5,4,16,5,6,19,8,59,27,108,2,1,11,7,4,0,0,4,0,2,0,1,1,0,5,21,19,14,48,35,3,3,34,48,183,1288,1314,374,235,528,87,323,202,840,138,321,309,550,103,935,13,34,1283,336,3,0,2,2,1,3,0,1,1,2,8,51,19,41,38,84,3,9,50,22
Cell26,0.0501002004008016,3,3,2,1,6,2,2,5,4,2,8,37,9,37,23,109,7,11,23,22,2,0,0,0,1,2,1,1,0,1,4,58,42,38,7,28,4,5,35,12,146,363,802,2049,1659,1017,30,193,1219,571,107,468,104,350,405,629,107,68,591,833,1,0,1,0,0,4,2,0,2,0,2,21,25,9,71,47,16,3,18,16
Cell27,0.052104208416833664,0,8,8,4,9,2,3,8,3,2,6,7,16,84,19,55,0,3,19,3,0,1,2,1,4,0,0,1,1,3,17,8,32,26,9,2,5,11,101,31,129,3284,756,1420,1803,772,20,397,528,223,92,223,153,420,176,406,25,78,656,161,0,2,2,1,2,0,0,1,0,0,10,65,28,48,233,9,1,19,115,8
Cell28,0.05410821643286573,5,4,5,1,32,0,3,1,2,4,14,6,6,17,1,26,1,7,5,18,3,0,2,2,1,1,1,1,0,2,13,15,3,42,56,60,5,6,74,21,25,3869,645,866,2871,772,168,371,193,1135,17,186,280,561,346,785,19,17,1036,328,0,0,0,0,0,1,0,0,1,0,11,69,103,39,132,28,9,8,90,8
Cell29,0.05611222444889779,1,3,7,1,9,3,2,6,0,11,6,22,5,47,3,37,2,7,19,11,1,2,0,0,0,2,0,1,0,4,10,66,24,82,28,23,7,6,30,30,110,3772,1774,1941,3859,1254,222,619,238,761,72,133,85,488,32,304,64,88,162,645,1,0,1,2,0,0,0,1,2,0,11,15,39,44,73,83,6,5,57,32
Cell30,0.058116232464929855,0,8,10,1,6,4,3,1,3,2,1,76,10,32,23,58,15,2,21,26,0,2,1,1,1,1,2,0,4,0,6,61,12,25,9,41,2,6,52,52,418,648,502,567,4355,1286,258,748,433,628,273,23,1,389,556,520,55,83,2559,175,0,4,0,5,2,4,3,1,3,1,4,20,53,40,29,15,10,10,206,41
Cell31,0.06012024048096192,1,12,16,2,3,0,0,3,7,5,15,11,8,51,6,47,15,13,25,29,0,1,6,2,0,0,2,1,4,0,3,11,16,35,48,41,0,1,32,34,368,3411,2190,761,710,846,128,481,351,407,231,147,117,491,134,846,62,20,2214,468,0,2,1,1,0,2,2,1,0,0,9,42,14,64,84,33,7,5,63,41
Cell32,0.06212424849699398,2,2,8,1,13,1,0,0,2,0,36,39,8,100,5,38,0,17,17,6,1,1,1,0,1,0,1,1,0,2,18,27,50,26,117,46,13,12,89,45,70,915,1757,1409,2675,745,100,210,166,233,43,254,210,257,52,614,15,62,1071,498,1,0,1,0,1,1,1,0,2,3,13,77,18,52,68,18,13,26,100,26
Cell33,0.06412825651302605,0,2,6,2,15,3,0,1,2,3,6,28,23,31,11,3,1,10,17,32,0,1,0,0,3,2,1,3,0,0,22,9,19,15,12,67,4,14,19,33,544,925,1252,437,3694,1033,487,40,374,1337,320,20,77,199,128,1138,35,32,1872,1255,2,0,1,0,1,2,2,1,1,0,14,113,21,56,69,5,16,9,27,28
Cell34,0.06613226452905811,1,9,0,1,10,2,2,3,6,1,5,7,12,42,19,84,2,1,6,11,0,3,2,0,0,0,0,1,1,2,17,18,40,5,75,26,8,3,55,36,115,1243,2039,2054,1124,1163,246,288,411,493,68,189,50,224,35,348,94,19,954,945,0,0,0,2,0,1,0,0,1,1,3,79,108,41,118,70,7,10,76,27
Cell35,0.06813627254509018,2,2,5,1,5,6,6,6,10,7,21,15,9,31,13,34,4,0,6,44,1,2,2,1,0,1,2,0,1,4,3,38,40,36,100,20,1,8,22,61,126,766,1021,1886,4980,678,71,135,340,366,72,366,61,147,95,665,84,25,447,506,4,2,0,1,0,0,1,1,2,3,30,36,70,9,84,44,3,33,29,7
Cell36,0.07014028056112225,4,13,0,3,17,1,3,11,0,5,7,14,7,18,10,57,3,17,32,23,2,0,1,1,0,0,2,1,1,0,3,19,96,14,47,87,8,2,117,43,110,2475,852,1424,2681,1454,162,296,927,180,60,89,203,100,123,437,25,70,1384,300,1,2,1,0,0,1,0,1,0,4,8,9,158,19,75,20,7,34,50,45
Cell37,0.0721442885771543,0,2,3,0,2,0,3,1,1,4,2,25,12,57,2,59,8,8,6,29,0,4,0,1,0,0,0,1,1,1,12,21,15,50,56,22,6,5,54,18,192,453,1308,2418,1370,885,158,73,236,860,103,160,102,163,44,233,53,29,377,560,0,0,1,2,2,1,2,0,3,0,6,33,28,28,18,54,4,10,44,12
Cell38,0.07414829659318636,6,6,10,2,10,1,1,4,2,3,10,4,4,43,5,63,10,3,20,5,4,4,1,0,1,0,2,2,0,1,0,18,54,18,48,64,7,5,8,36,93,4921,520,2276,5118,871,43,458,476,329,47,42,150,224,229,375,29,140,577,458,0,0,1,1,0,0,1,1,1,0,13,30,88,73,165,67,7,32,7,12
Cell39,0.07615230460921843,3,4,4,4,19,0,4,10,3,9,11,10,8,46,7,96,9,3,1,23,1,0,1,0,0,2,1,0,1,0,16,36,23,13,74,34,2,2,28,84,121,2668,1419,2191,1588,1054,129,200,1452,593,61,235,137,660,102,409,38,110,1132,589,2,1,3,0,1,2,2,2,1,0,5,58,39,24,101,4,4,13,7,22
Cell40,0.0781563126252505,1,1,4,2,2,1,1,2,3,5,10,35,0,59,4,37,1,1,20,25,0,0,0,1,0,1,3,0,2,4,6,7,27,91,68,42,3,7,69,15,314,472,1458,3700,4780,158,142,333,314,1277,152,11,69,444,118,133,56,72,620,521,1,6,1,0,2,3,1,3,1,0,1,124,49,47,91,15,5,18,65,61
Cell41,0.08016032064128256,1,1,2,1,4,0,9,1,4,5,4,49,4,21,1,29,3,5,19,8,0,4,0,0,1,0,1,1,3,5,3,6,20,46,9,13,0,0,15,3,55,1056,384,2359,4046,1340,176,379,1186,427,25,287,82,286,54,1030,19,87,463,781,2,2,1,0,0,0,2,6,0,1,25,11,35,55,107,51,7,24,37,26
Cell42,0.08216432865731463,3,18,2,2,11,1,3,2,3,6,8,17,7,16,7,121,14,11,14,8,2,0,1,1,0,0,1,1,1,0,15,22,19,13,28,42,5,7,33,30,262,1189,865,1974,3005,3714,142,398,2230,318,117,67,56,397,180,177,87,18,1385,995,2,0,0,0,0,0,2,0,1,0,7,5,31,23,128,36,1,4,92,29
Cell43,0.08416833667334668,1,1,6,4,13,2,4,8,1,5,12,15,10,104,0,30,2,12,19,14,1,4,0,2,0,0,1,0,0,1,7,74,25,18,56,66,0,3,42,46,133,1010,1471,1006,2830,2587,228,495,437,1136,63,48,87,181,43,410,32,125,251,787,1,2,0,0,1,2,0,2,4,0,14,51,44,32,53,26,5,6,5,65
Cell44,0.08617234468937875,5,2,0,4,7,3,11,4,6,3,13,10,1,53,3,90,0,7,14,10,2,0,0,1,3,1,0,1,4,0,12,11,58,56,29,11,4,8,105,29,286,5733,1988,2034,11156,965,180,361,644,741,121,342,65,297,137,456,35,26,979,47,1,1,2,1,2,1,1,1,2,1,4,65,98,48,72,62,5,25,13,34
Cell45,0.08817635270541081,3,1,4,0,13,0,4,3,4,6,3,18,1,15,15,49,3,4,2,6,2,1,0,0,1,0,0,0,1,2,4,38,25,31,29,46,2,1,10,26,104,3668,650,1873,7484,489,309,268,239,556,43,129,108,75,126,550,86,65,1217,204,3,2,1,0,6,4,1,0,3,2,4,119,41,22,262,78,9,17,30,32
Cell46,0.09018036072144288,2,5,12,3,12,2,2,3,3,4,27,13,4,20,6,61,8,5,3,30,1,0,1,1,0,2,0,1,1,1,1,28,15,33,40,53,7,2,29,28,142,2078,1855,850,1492,660,320,323,802,974,57,121,44,548,53,469,82,82,253,119,1,1,0,2,0,0,1,1,0,0,11,23,28,120,122,29,3,22,108,62
Cell47,0.09218436873747494,2,2,5,0,10,2,1,2,1,5,7,14,9,62,2,18,3,3,9,9,1,0,2,2,2,0,0,1,1,0,17,6,12,29,6,52,5,4,7,36,172,2353,635,2662,4068,384,312,822,578,670,63,80,18,204,167,256,77,96,1052,184,0,1,0,2,2,0,1,0,0,1,10,89,19,70,52,4,9,11,116,27
Cell48,0.09418837675350701,5,0,1,1,28,1,1,7,1,7,5,25,13,34,6,12,1,9,4,14,3,0,5,2,0,4,1,1,0,0,5,14,11,70,82,62,3,1,29,73,54,1406,1928,4174,2624,1538,115,206,330,708,23,110,33,145,35,185,29,31,189,658,2,0,4,0,0,0,4,1,1,1,17,39,24,31,107,0,3,17,81,28
Cell49,0.09619238476953906,1,12,21,0,13,3,1,4,0,3,11,13,8,37,3,56,1,3,7,18,1,5,0,0,0,0,0,1,1,1,10,14,18,81,32,2,3,3,71,48,236,2376,611,792,3261,940,116,302,900,418,92,89,114,261,20,161,17,98,631,470,1,1,1,1,1,0,0,0,2,1,3,21,32,49,94,6,9,15,15,2
Cell50,0.09819639278557113,0,4,9,5,49,0,2,7,10,5,4,10,1,32,9,18,7,0,23,3,0,3,1,1,1,2,0,1,3,0,2,32,56,34,28,41,3,2,33,19,158,1553,1550,308,11694,904,71,171,370,1427,57,23,62,147,82,144,1,19,1080,492,4,0,3,0,0,1,1,0,1,1,26,91,105,110,26,21,6,4,72,32
Cell51,0.1002004008016032,5,3,7,2,7,0,1,2,9,10,1,23,11,76,8,69,7,1,12,10,2,1,1,0,2,0,1,1,4,1,4,36,16,45,33,44,5,7,38,8,213,1402,520,1717,591,1536,163,490,1431,492,80,208,55,175,110,262,12,73,1000,335,1,3,0,1,1,0,0,1,1,2,7,10,31,34,18,32,2,11,36,73
Cell52,0.10220440881763526,3,1,9,2,24,1,0,5,0,3,21,4,9,87,5,79,5,1,10,16,1,0,2,0,0,1,0,0,0,2,1,35,26,24,33,20,6,1,34,60,502,1361,1401,2085,11113,343,219,216,282,768,183,242,45,208,55,359,27,38,1031,373,0,0,1,1,1,0,3,2,3,0,8,41,53,63,5,93,5,17,4,21
Cell53,0.10420841683366733,8,2,15,3,22,4,3,11,6,1,6,3,15,37,4,78,7,1,16,16,4,0,1,0,2,0,1,0,2,0,2,49,42,17,10,9,0,3,53,53,82,3359,1421,1424,5538,717,106,370,1069,757,25,200,69,126,65,309,38,7,590,299,0,0,0,0,4,2,0,2,0,2,0,2,86,22,93,5,8,7,43,66
Cell54,0.1062124248496994,3,10,6,2,17,5,5,6,5,10,12,2,8,48,3,92,5,6,1,11,1,1,0,2,1,0,0,4,1,1,8,17,31,24,68,32,6,5,27,36,81,2896,1921,723,1105,707,360,287,569,843,24,34,44,220,74,623,126,45,497,353,0,1,1,2,2,1,1,0,0,1,16,84,60,67,119,30,9,23,81,23
Cell55,0.10821643286573146,0,14,5,4,4,1,4,4,3,8,3,16,4,26,4,4,4,6,13,13,0,0,0,0,1,6,0,1,0,2,8,15,12,94,68,13,4,3,67,26,249,3059,1855,1685,12001,947,144,644,353,1767,89,178,127,361,99,509,37,73,291,321,0,1,0,2,0,0,0,1,0,0,14,75,24,53,88,22,6,14,26,9
Cell56,0.11022044088176351,0,0,10,7,6,1,7,6,4,4,3,20,5,18,9,62,7,3,7,12,0,0,0,1,2,1,1,2,1,2,3,11,16,28,16,21,8,2,58,13,230,4113,1526,2015,12236,2032,233,502,141,246,75,44,82,248,123,197,6,28,54,1016,2,0,1,1,0,1,1,0,0,1,7,116,36,52,89,42,3,13,75,88
Cell57,0.11222444889779558,2,2,9,1,10,3,0,9,3,5,9,33,0,25,8,26,1,4,7,22,0,4,0,1,2,0,0,1,3,1,14,19,13,6,1,21,3,3,7,33,59,1153,970,1662,5461,227,276,550,814,685,18,54,123,142,22,151,16,66,34,367,1,0,2,5,0,1,4,0,6,0,16,27,24,134,96,61,7,5,87,16
Cell58,0.11422845691382764,0,12,9,4,51,0,2,6,10,12,9,6,9,98,10,32,16,1,22,18,0,2,0,1,1,0,0,0,0,3,4,13,30,30,14,16,4,2,32,8,124,2848,3555,1476,2977,2283,139,72,104,1555,39,51,72,61,107,277,48,76,151,61,0,1,1,0,0,0,0,0,1,1,21,61,65,30,58,21,16,19,100,29
Cell59,0.11623246492985971,3,12,25,6,37,1,5,1,3,8,15,23,23,29,12,20,4,9,29,9,2,0,1,2,0,0,0,0,0,0,9,15,17,63,30,12,2,4,31,29,191,2480,991,1075,3079,924,151,282,526,1493,58,41,31,130,48,312,65,86,701,260,5,0,1,0,1,1,0,0,0,1,14,36,37,4,33,55,10,11,60,18
Cell60,0.11823647294589178,2,4,13,0,10,0,3,3,10,13,2,21,4,6,14,43,1,7,4,18,1,0,0,3,1,0,4,3,3,2,12,26,12,17,15,28,3,6,5,17,212,4530,424,1437,4954,1038,221,212,388,1562,63,113,38,38,80,385,30,55,132,656,0,0,0,1,2,0,0,0,1,0,1,34,25,146,152,34,4,24,43,18
Cell61,0.12024048096192384,0,1,10,2,30,3,4,14,4,1,21,22,6,30,12,58,9,3,2,16,0,0,0,0,0,0,0,1,0,0,5,13,20,21,45,49,0,5,55,19,507,256,258,4956,4468,133,79,674,1040,1478,148,23,66,281,34,306,19,37,1400,420,2,1,3,2,1,0,0,2,0,2,2,24,42,28,98,29,5,13,55,57
Cell62,0.1222444889779559,8,14,9,0,26,0,3,6,6,7,10,25,7,63,2,18,8,5,4,28,5,2,1,2,0,1,0,1,0,2,8,10,19,37,31,11,1,2,21,18,151,2693,3213,1267,3720,900,176,586,1599,1084,38,198,70,120,111,201,112,47,617,307,0,0,1,2,0,0,2,3,1,2,6,48,45,35,53,100,9,6,21,47
Cell63,0.12424849699398796,1,12,15,4,18,4,3,1,17,12,8,15,5,17,4,16,8,1,27,6,0,2,5,2,3,0,0,1,0,1,9,24,24,29,33,12,1,4,1,30,357,2258,1831,1265,359,509,245,706,528,282,89,100,76,56,138,383,37,65,461,95,3,0,3,0,3,3,1,0,2,3,23,20,51,133,128,39,3,10,132,23
Cell64,0.12625250501002003,3,8,2,2,8,3,1,8,2,1,3,3,3,21,2,37,4,6,23,19,2,0,1,0,1,0,0,0,1,2,9,4,8,28,19,12,2,5,87,7,407,628,2433,531,3517,231,236,400,1237,805,113,19,19,132,200,334,81,29,413,133,1,1,0,1,0,2,0,2,0,1,14,71,22,57,54,16,13,25,115,31
Cell65,0.1282565130260521,0,23,3,7,15,1,4,4,3,0,4,3,6,37,8,21,2,3,8,27,0,0,2,1,2,0,1,4,0,1,5,4,9,61,53,4,1,2,56,35,247,6019,727,3448,1371,1104,163,253,171,235,68,42,31,108,92,226,27,12,259,199,1,1,0,0,0,0,2,3,0,0,7,59,19,64,132,72,7,19,72,28
Cell66,0.13026052104208416,6,6,25,3,9,0,7,2,13,1,0,21,14,29,2,67,5,7,7,4,3,1,0,0,3,2,0,5,0,2,8,2,10,23,29,52,2,2,38,33,215,3064,2799,2624,9356,994,172,458,773,1518,57,49,60,75,57,126,72,40,83,125,3,0,0,2,0,0,1,0,1,0,13,38,67,34,42,46,4,7,117,17
Cell67,0.13226452905811623,2,2,8,2,9,0,2,0,6,4,6,11,2,27,4,28,3,4,2,6,1,6,0,1,1,2,0,0,0,0,3,16,5,24,37,28,3,11,21,38,171,3936,1734,1046,3498,913,319,212,450,1346,41,38,87,75,60,341,31,27,220,121,2,0,2,4,1,2,0,0,3,0,11,56,42,80,26,38,20,12,1,23
Cell68,0.1342685370741483,3,8,9,2,8,8,0,3,3,6,14,25,2,59,5,8,11,5,12,32,1,2,1,1,1,0,1,2,0,0,4,21,4,25,27,42,2,4,11,16,191,3510,3017,3307,12446,2331,244,398,3290,116,38,178,30,64,34,201,58,28,369,82,0,1,0,0,0,0,1,0,0,3,3,17,101,10,60,47,6,21,53,16
Cell69,0.13627254509018036,5,5,0,4,35,2,14,4,5,6,6,17,5,22,4,39,4,3,5,14,3,0,2,2,2,0,2,0,2,0,15,35,20,48,29,9,3,6,30,14,821,302,1068,1250,5635,1897,547,334,729,1379,194,115,71,26,54,153,11,44,296,120,1,1,1,0,1,0,0,1,0,1,10,27,31,87,115,18,10,18,32,34
Cell70,0.13827655310621242,4,14,23,4,13,6,4,4,9,6,11,9,1,23,14,30,2,5,13,11,2,2,1,1,0,5,2,0,1,0,7,6,4,36,18,6,2,2,43,22,75,2206,2869,4611,4621,1562,376,510,568,1062,13,65,83,35,20,250,51,89,96,381,0,2,1,2,0,0,1,1,0,0,5,80,21,73,55,92,15,22,72,18
Cell71,0.1402805611222445,2,3,4,10,22,3,2,8,4,11,11,14,2,24,12,27,4,6,8,6,0,1,2,0,2,5,0,0,1,0,6,24,3,25,33,2,1,1,12,37,127,1856,2555,3353,5908,1536,34,166,693,1409,25,66,78,212,33,24,37,30,178,283,0,0,2,1,0,2,1,1,0,2,5,34,2,60,84,92,2,11,40,60
Cell72,0.14228456913827653,3,5,12,1,17,5,5,5,12,10,7,4,4,45,7,7,3,8,17,25,1,2,1,1,1,0,1,0,0,0,9,23,16,53,12,7,4,0,36,4,254,1999,1575,1424,18379,1486,106,469,845,1600,62,51,41,123,73,494,76,35,103,93,2,0,1,0,1,0,1,1,0,2,0,68,15,11,73,93,3,14,48,21
Cell73,0.1442885771543086,1,9,13,7,1,1,11,3,1,27,5,2,14,33,9,9,2,1,3,9,0,1,1,1,0,1,4,1,1,0,7,23,6,14,15,22,0,7,45,18,166,2898,1832,2235,19333,1436,237,638,448,1263,35,68,45,75,49,206,25,56,190,224,1,0,0,2,2,2,1,0,1,3,7,38,35,15,25,21,17,13,66,44
